Age,M,F
0-4,9570072,9145776
5-9,10230842,9783773
10-14,10658987,10164219
15-19,11466223,10962383
20-24,11466034,11050074
25-29,11432135,11078018
30-34,12064900,11797092
35-39,11671935,11439915
40-44,11268773,11113514
45-49,10301469,10318845
50-54,10433380,10511088
55-59,10236331,10519125
60-64,10374819,10995753
65-69,9395653,10249901
70-74,7421715,8525237
75-79,5323509,6535962
80-84,3183616,4176941
85-89,1682015,2490526
90-94,769321,1328047
95-99,188590,380198
100-100,28945,78760
